12/30 08:59:56.581  Gift of the Wild fades from Thefireball.
12/30 08:59:57.205  Panzla gains Summon Felsteed (1).
12/30 08:59:58.014  Slowar falls and loses 1 health.
12/30 09:00:00.987  Tatankan gains Plainsrunning (1).
12/30 09:00:02.063  Okmoose begins to cast Teleport: Nordanaar.
12/30 09:00:02.214  Thorns fades from Hooliganscha.
12/30 09:00:03.584  Shadow Protection fades from Voodoovoodoo.
12/30 09:00:23.365  Warchief's Blessing fades from Djisamsu.
12/30 09:00:24.419  Zaptuah creates Enchanted Leather.
12/30 12:05:48.311  RABLOG_PULL: 2025-12-30 12:05:48&12:05:48&13:27&6&bt&Tankmedady&Nordanaar&Tankmedady&PARTY/1&None
12/30 12:05:48.311  RABLOG_BAR: 1&spiritofzanza&Zanza&0&1&0&0&&
12/30 12:05:48.311  RABLOG_BAR: 2&mongoose&Mongoose&0&1&0&0&&
12/30 12:05:48.311  RABLOG_PLAYERS_WITHOUT: spiritofzanza&Tankmedady [Paladin; G1]
12/30 12:05:48.311  RABLOG_PLAYERS_WITHOUT: mongoose&Tankmedady [Paladin; G1]
12/30 12:05:48.311  RABLOG_END: 6
12/30 19:24:41.665  RABLOG_PULL: 2025-12-30 19:24:41&19:24:41&02:30&7&bt_tank&Tankmedady&Nordanaar&Drube&RAID/31&Molten Giant
12/30 19:24:41.665  RABLOG_BAR: 1&supdef&Superior Defense&3&31&9&0&&
12/30 19:24:41.665  RABLOG_BAR: 2&giftarthas&Gift of Arthas&2&31&6&0&&
12/30 19:24:41.665  RABLOG_BAR: 3&mongoose&Mongoose&7&31&22&0&&
12/30 19:24:41.665  RABLOG_BAR: 4&roids&R.O.I.D.S.&1&31&3&0&&
12/30 19:24:41.665  RABLOG_BAR: 5&titans&Flask of the Titans&2&31&6&0&&
12/30 19:24:41.665  RABLOG_BAR: 6&scorpok&Assay&2&31&6&0&&
12/30 19:24:41.665  RABLOG_BAR: 7&rumseyrum&Rumsey Black Label&2&31&6&0&&
12/30 19:24:41.665  RABLOG_BAR: 8&merlot&Medivh's Merlot&2&31&6&0&&
12/30 19:24:41.665  RABLOG_BAR: 9&giants&Elixir of Giants&6&15&40&0&& wd
12/30 19:24:41.665  RABLOG_BAR: 10&firewater&Winterfall Firewater&3&20&15&0&& wsd
12/30 19:24:41.665  RABLOG_BAR: 11&jujumight&Juju Might&0&20&0&0&& wsd
12/30 19:24:41.665  RABLOG_BAR: 12&mushroomstam&Hardened Mushrooms&0&31&0&0&&
12/30 19:24:41.665  RABLOG_BAR: 13&telabimdelight&Dononzo's TelAbim Delight&0&31&0&0&&
12/30 19:24:41.665  RABLOG_BAR: 14&greaterarcane&Greater Arcane Elixir&0&7&0&0&& as
12/30 19:24:41.665  RABLOG_BAR: 15&dreamshard&Dreamshard Elixir&2&7&28&0&& as
12/30 19:24:41.665  RABLOG_BAR: 16&dreamtonic&Dream Tonic&0&7&0&0&& as
12/30 19:24:41.665  RABLOG_BAR: 17&emeraldmongoose&C-Emerald Mongoose&1&7&14&0&& as
12/30 19:24:41.665  RABLOG_BAR: 18&dreamwater&C-Dreamwater&1&7&14&0&& as
12/30 19:24:41.665  RABLOG_PLAYERS_WITH: supdef&Tankmedady [Paladin; G1], Drube [Druid; G1], Hooliganscha [Druid; G1]
12/30 19:24:41.665  RABLOG_PLAYERS_WITHOUT: supdef&Mopsis [Hunter; G1], Thundrix [Shaman; G1], Tumblemore [Druid; G2], Asspocalypse [Hunter; G2], Saspatoon [Warrior; G2], Shamalaharis [Shaman; G2], Bassilthorne [Warrior; G2], Totemstuffer [Shaman; G3], Littlemouth [Warrior; G3], Wixture [Warrior; G3], Voxii [Warrior; G3], Jidcat [Druid; G3], Boath [Paladin; G4], Buffnut [Druid; G4], Waveh [Shaman; G4], Dezii [Priest; G4], Mewnfyre [Druid; G4], Kurzik [Warrior; G5], Cellsham [Shaman; G5], Soccerball [Warrior; G5], Sheybashots [Hunter; G5], Suntavilo [Warrior; G5], Davolution [Mage; G6], Casandraa [Mage; G6], Pendrell [Mage; G6], Kittira [Druid; G6], Smallbills [Warlock; G6], Gameora [Mage; G7]
12/30 19:24:41.665  RABLOG_PLAYERS_WITH: giftarthas&Drube [Druid; G1], Hooliganscha [Druid; G1]
12/30 19:24:41.665  RABLOG_PLAYERS_WITHOUT: giftarthas&Tankmedady [Paladin; G1], Mopsis [Hunter; G1], Thundrix [Shaman; G1], Tumblemore [Druid; G2], Asspocalypse [Hunter; G2], Saspatoon [Warrior; G2], Shamalaharis [Shaman; G2], Bassilthorne [Warrior; G2], Totemstuffer [Shaman; G3], Littlemouth [Warrior; G3], Wixture [Warrior; G3], Voxii [Warrior; G3], Jidcat [Druid; G3], Boath [Paladin; G4], Buffnut [Druid; G4], Waveh [Shaman; G4], Dezii [Priest; G4], Mewnfyre [Druid; G4], Kurzik [Warrior; G5], Cellsham [Shaman; G5], Soccerball [Warrior; G5], Sheybashots [Hunter; G5], Suntavilo [Warrior; G5], Davolution [Mage; G6], Casandraa [Mage; G6], Pendrell [Mage; G6], Kittira [Druid; G6], Smallbills [Warlock; G6], Gameora [Mage; G7]
12/30 19:24:41.665  RABLOG_PLAYERS_WITH: mongoose&Mopsis [Hunter; G1], Drube [Druid; G1], Hooliganscha [Druid; G1], Saspatoon [Warrior; G2], Bassilthorne [Warrior; G2], Voxii [Warrior; G3], Jidcat [Druid; G3]
